audio_key,callsign,city,content,context,context_end,context_start,denorm_content,diary_band,diary_env,diary_gender,diary_speaker_id,mean_word_confidence,segment_end_global,segment_idx,segment_start_global,segment_start_relative,show_confidence,show_name,show_source,state,date,audio_url
speechbox/stream_out/2020-04-30/KFNX/22_14_13.raw,KFNX,Cave Creek,the protests the protesters that are out there saying you know i'm tired of being locked up right we've got to get back to work remember how protesting used to be the highest form of patriotism well how long ago remember mean occupy wall street black lives matter or antifa or the way the media treats,the protests the protesters that are out there saying you know i'm tired of being locked up right we've got to get back to work remember how protesting used to be the highest form of patriotism well how long ago remember mean occupy wall street black lives matter or antifa or the way the media treats those all these are some people are really upset we got to listen to what their complaint sorry is a very important  protesting is the highest form of patriotism you got to resist you got to where they use pink hats on your head you gotta you gotta do all kinds of you got to talk about blowing up the white house is one most patriotic things you can possibly do and then there is a protest that is remotely conservative or they see it at least is not anti left i shouldn't anti right and all of a sudden,1588285083.64,1588285020.6,The protests the protesters that are out there saying you know I'm tired of being locked up right we've got to get back to work remember how protesting used to be the highest form of patriotism well how long ago remember mean Occupy Wall street black lives matter or antifa or the way the media treats,S,U,M,S16,0.9092857142857144,1588285039.89,18,1588285020.6,167.6,,,,AZ,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKFNX%252F22_14_13.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKFNX%252F22_14_13.raw&t=152.6
speechbox/stream_out/2020-04-30/KFNX/22_17_18.raw,KFNX,Cave Creek,were peaceful the people doing the protest now are peaceful the other one's occupy wall street black lives matter antifa they all had,i mean compare the media treatment of occupy wall street black lives matter antifa to the treatment of  of the tea party protests we had and the people wanting to go back to work now is knight and day and by the way the tea party protests were peaceful the people doing the protest now are peaceful the other one's occupy wall street black lives matter antifa they all had lots of problems with violence and yet remember the reporting on that mostly peaceful and rally today mostly peaceful i've always loved that word does that phrase mostly peaceful  doesn't that mean it was a peaceful mostly peaceful  them mostly sunny day interrupted by five hours of thunderstorms and lightning but it was mostly sunny,1588285211.05,1588285148.42,Were peaceful the people doing the protest now are peaceful the other one's Occupy Wall street black lives matter antifa they all had,S,U,M,S17,0.9017391304347827,1588285172.33,12,1588285162.82,124.82,,,,AZ,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKFNX%252F22_17_18.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKFNX%252F22_17_18.raw&t=109.82
speechbox/stream_out/2020-04-30/KQED/00_00_02.raw,KQED,San Francisco,at one point the officer punches the boy as he appears to resist the boy's family will join with black lives matter sacramento for a press conference tonight on its face the page the organization says there is nothing that would justify these actions from any officer,at one point the officer punches the boy as he appears to resist the boy's family will join with black lives matter sacramento for a press conference tonight on its face the page the organization says there is nothing that would justify these actions from any officer the sacramento sheriff's office says the deputy who works for the rancho quarter the police department under contract was responding to complaints in the area of hand to hand sales of alcohol tobacco and drugs to minors and was trying to detain the boy in sacramento i'm katie or kick you eating is listed laying off nearly a thousand employees and its archrival gruber is reportedly close to doing something similar kick you eat is brian watt has more san francisco based ride hailing giant says the job cuts represent seventeen percent of its staff employees so we're not talking here about the drivers many of whom have already struggled with this steep plunge and rides requested during the coronavirus pandemic,1588205156.88,1588205082.78,At one point the officer punches the boy as he appears to resist the boy's family will join with black lives matter Sacramento for a press conference tonight on its face the page the organization says there is nothing that would justify these actions from any officer,S,U,F,S42,0.9831914893617022,1588205099.23,26,1588205082.78,280.78,0.71,All Things Considered (NPR),auto,CA,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKQED%252F00_00_02.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKQED%252F00_00_02.raw&t=265.78
speechbox/stream_out/2020-04-30/KZSE/16_45_12.raw,KZSE,Rochester,black lives matter is when you know stopping lane three when all that happens people are arrested they're charge there was a bill introduced for protesters to get three years in prison none of that,well you know when i heard that the protests going to happen to minnesota i thought okay well we'll be smart enough or governor will be smart enough to say hey people are starting to get fined for breaking the stay at home order so yeah there was no permanent you know it'll be dispersed or whatever i saw none of that i was so disappointed and i just kept thinking and i asked us on my social media is like i don't understand why this was happening rate like one black lives matter is when you know stopping line three when all that happens black lives matter is when you know stopping lane three when all that happens people are arrested they're charge there was a bill introduced for protesters to get three years in prison none of that was happening when these protests were going on for liberate quote unquote minnesota or whatever you know so it's like okay you know i was so confused him of course then i just became more angry just the difference in how people can still not see the difference,1588265152.68,1588265087.52,Black lives matter is when you know stopping lane three when all that happens people are arrested they're charge there was a bill introduced for protesters to get three years in prison none of that,S,U,M,S0,0.9425714285714284,1588265124.55,0,1588265112.03,0.03,,,,MN,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKZSE%252F16_45_12.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKZSE%252F16_45_12.raw&t=0
speechbox/stream_out/2020-04-30/KZSE/16_45_12.raw,KZSE,Rochester,right people are saying well this is different than black lives matter this is different and it's like no it's you're still protesting in other states where people were literally showing up with what weapons,right people are saying well this is different than black lives matter this is different and it's like no it's you're still protesting in other states where people were literally showing up with what weapons how is this not i just i don't that's all i got those are the where they have for that i'd just like to add that as a journalist i'm just worried about my co workers who need to be out in this and it's their duty to cover this especially our photo journalists who are going out to these protests to document them and i'm just really worrying for their house don  i see your face well i you know   the divisiveness in this country right now during a pandemic disappoints me it angers me,1588265207.49,1588265142.04,Right people are saying well this is different than black lives matter this is different and it's like no it's you're still protesting in other states where people were literally showing up with what weapons,S,U,M,S0,0.9259999999999999,1588265152.68,2,1588265142.04,30.04,,,,MN,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKZSE%252F16_45_12.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FKZSE%252F16_45_12.raw&t=15.04
speechbox/stream_out/2020-04-30/WBSM/23_14_15.raw,WBSM,New Bedford,and well not long ago remember i mean occupy wall street black lives matter or and teeth or,it doesn't have the value on this virus that the way it has an other viruses oh here's another one that got me the protests the protesters that are out there saying you know i'm tired of being locked up right we got to get back to work remember how protesting used to be the highest form of patriotism and well not long ago remember i mean occupy wall street black lives matter or and teeth or the way the media treats those i oh these are some people really upset we got to listen to what their complaints army was a very important to protest thing is the highest form of patriotism you got to resist you got to where these pain hats on your head you gotta you gotta know all kinds of you've got to talk about blowing up the white house is one of the most patriotic things you can possibly do and then there's a protest that is remotely conservative,1588288645.26,1588288584.16,And well not long ago remember I Mean Occupy Wall street black lives matter or and teeth or,S,U,M,S10,0.7966666666666666,1588288608.2,12,1588288599.45,144.45,0.73,The Savage Nation - Michael Savage,auto,MA,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWBSM%252F23_14_15.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWBSM%252F23_14_15.raw&t=129.45
speechbox/stream_out/2020-04-30/WBSM/23_18_06.raw,WBSM,New Bedford,the other one's occupy wall street black lives matter anti foot they all had lots of problems with violence and yet remember the reporting on that,those guys are knuckle dragging conservatives whipped up into a frenzy by talk radio and fox news channel if it's a protest the war at all yeah another one of those right wing radio stunts i mean compared the media treatment of occupy wall street black lives matter antifa to the treatment of  of the tea party protests we had and the people wanting to go back to work now it is knight and day and by the way the tea party protests were peaceful the people doing the protest now are peaceful the other one's occupy wall street black lives matter anti foot they all had lots of problems with violence and yet remember the reporting on that mostly peaceful antifa rally today mostly peaceful i've always loved that word the that phrase mostly peaceful  doesn't that mean it wasn't baseball was mostly peaceful  the mostly sunny day interrupted by five hours of thunderstorms and lightning but it was mostly sunny day,1588288776.66,1588288705.73,The other one's Occupy Wall street black lives matter anti foot they all had lots of problems with violence and yet remember the reporting on that,S,U,M,S2,0.9265384615384615,1588288743.86,7,1588288737.06,51.06,0.73,The Savage Nation - Michael Savage,auto,MA,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWBSM%252F23_18_06.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWBSM%252F23_18_06.raw&t=36.06
speechbox/stream_out/2020-04-30/WHKT/19_15_19.raw,WHKT,Portsmouth,remember how protesting used to be the highest form of patriotism and will not long ago remember i mean occupy wall street black lives matter,remember how protesting used to be the highest form of patriotism and will not long ago remember i mean occupy wall street black lives matter or an team or the way the media treats like oh these are just some people really upset we got to listen to what their complaints are using very important to protesting is the highest form of patriotism you got to resist you got to where just pink hats on your head you gotta you gotta know all kinds of you've got to talk about blowing up the white house one not most patriotic things you can possibly do and then there's a protest that is remotely conservative or they see it at least is not anti left actually i'm anti right and all of a sudden these protesters are crazy they want to kill people they must be they must be backed by the israeli  well the right wing or on,1588274233.81,1588274167.09,Remember how protesting used to be the highest form of patriotism and will not long ago remember I Mean Occupy Wall street black lives matter,S,U,M,S11,0.9292,1588274176.75,4,1588274167.09,48.09,0.56,The John Fredericks Show,auto,VA,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWHKT%252F19_15_19.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWHKT%252F19_15_19.raw&t=33.09
speechbox/stream_out/2020-04-30/WHKT/19_18_29.raw,WHKT,Portsmouth,the black lives matter antifa they all had lots of problems with violence and yet remember the reporting on that mostly peaceful empty for rally today mostly peaceful i've always loved that word,i mean compared the media treatment of occupy wall street black lives matter antifa to the treatment of  of the tea party protest we had and the people wanting to go back to work now it is knight and day and by the way the tea party protests were peaceful the black lives matter antifa they all had lots of problems with violence and yet remember the reporting on that mostly peaceful empty for rally today mostly peaceful i've always loved that word that that phrase mostly peaceful  doesn't that mean it wasn't peaceful mostly peaceful  mostly sunny day interrupted by five hours of thunderstorms and lightning but it was mostly sunny day mhm i mean just compare this stuff and then then we got to look at this uh immunity many are getting it and getting better right vast majority of people getting a better,1588274355.69,1588274287.91,The black lives matter antifa they all had lots of problems with violence and yet remember the reporting on that mostly peaceful empty for rally today mostly peaceful I've always loved that word,S,U,M,S0,0.9424242424242425,1588274320.73,0,1588274309.0,0.0,0.56,The John Fredericks Show,auto,VA,2020-04-30,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWHKT%252F19_18_29.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-30%252FWHKT%252F19_18_29.raw&t=0
speechbox/stream_out/2020-04-29/KOAN/06_09_15.raw,KOAN,Anchorage,laura lynch second a._g. embrace black lives matter invited a demand for <unk> for discussions,but the gap is even bigger even though the department is of people of color why isn't the n._y._p._d. institutionally racist and the answers because you can't do it that way you don't bother it over and over again  laura lynch second a._g. embrace black lives matter invited a demand for  for discussions  and during the last couple of years of the obama administration to officers were killed execution style by a black man who posted on social media his anger at his assertion that the cops were brutalized black people  i think it was five cops killed execution style in dallas by another black man motivated by the same thing and cough or killed in baton rouge louisiana,1588140717.31,1588140654.81,Laura Lynch second AG embrace black lives matter invited a demand for ... for discussions,S,U,M,S19,0.8366666666666667,1588140674.37,15,1588140669.28,114.28,0.65,Larry Elder Show,auto,AK,2020-04-29,https://prototypes.cortico.ai/transcript-explore/?audioUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Fplay_audio_key%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-29%252FKOAN%252F06_09_15.raw&tsvUrl=https%3A%2F%2Fradiosearch-backend.cortico.ai%2Faudio_key_reco_result%2F%3Faudio_key%3Dspeechbox%252Fstream_out%252F2020-04-29%252FKOAN%252F06_09_15.raw&t=99.28
